startX,bin,pins
471.5,bin3,'pinR1C5|pinR4C3|pinR3C3|pinR5C4|pinR6C4|pinR7C4|pinR8C3|pinR8C2|pinR10C2|pinR9C2|pinR11C2|'
935.5,bin9,'pinR2C9|pinR1C9|pinR4C9|pinR5C9|pinR6C9|pinR7C9|pinR6C8|pinR7C9|pinR7C9|pinR8C9|pinR8C9|pinR9C9|pinR11C10|pinR11C9|pinSep9|sep|'
110.5,bin3,'pinR1C1|pinR3C2|pinR3C3|pinR2C2|pinR3C2|pinR5C3|pinR4C2|pinR6C2|pinR6C3|pinR8C3|pinR8C2|pinR9C3|pinR10C3|pinR11C3|pinR11C2|pinSep2|sep|'
807.5,bin11,'pinR1C8|pinR4C9|pinR4C10|pinR4C9|pinR5C10|pinR5C10|pinR6C9|pinR7C10|pinR7C11|pinR9C11|wall|pinR9C11|wall|pinR11C11|pinR11C10|'
631.5,bin11,'pinR2C6|pinR1C6|pinR2C6|pinR3C6|pinR5C7|pinR9C9|pinR9C11|pinR9C10|pinR10C10|wallsep|'
938.5,bin10,'pinR2C9|pinR3C9|pinR3C10|pinR6C10|pinR5C10|pinR6C10|pinR7C10|pinR8C9|pinR7C9|pinR8C9|pinR9C9|pinR11C10|pinR11C10|pinR11C10|pinSep10|pinSep10|sep|'
116.5,bin4,'pinR2C1|pinR4C1|pinR6C1|pinR7C1|pinR8C1|pinR9C3|pinR11C3|pinR11C4|pinR11C3|pinSep3|sep|sep|'
617.5,bin7,'pinR2C6|pinR3C6|pinR2C5|pinR3C6|pinR4C5|pinR4C4|pinR6C5|pinR5C5|pinR7C5|pinR7C6|pinR8C5|pinR9C5|pinR11C6|pinSep7|pinSep6|sep|sep|'
823.5,bin6,'pinR2C8|pinR2C7|pinR5C7|pinR5C6|pinR4C5|pinR7C5|pinR7C4|pinR7C4|pinR8C4|pinR8C4|pinR9C5|pinR11C6|pinR10C6|pinSep6|sep|sep|'
656.5,bin7,'pinR2C6|pinR3C8|pinR4C7|pinR4C7|pinR4C7|pinR5C8|pinR6C7|pinR6C6|pinR8C6|pinR8C6|pinR9C6|pinR10C5|'
144.5,bin3,'pinR2C1|pinR1C2|pinR2C1|pinR2C1|pinR2C1|pinR2C1|pinR3C1|pinR4C1|pinR6C2|pinR5C2|pinR8C1|pinR8C2|pinR9C2|pinR10C2|pinR11C3|pinR10C2|pinSep2|pinSep3|sep|'
771.5,bin5,'pinR1C8|pinR4C6|pinR3C6|pinR6C7|pinR5C7|pinR7C7|pinR8C7|pinSep5|sep|'
116.5,bin3,'pinR2C1|pinR4C1|pinR6C1|pinR7C1|pinR8C1|pinR7C3|pinR8C3|pinR8C4|pinR10C3|pinR10C2|pinR11C3|pinSep2|sep|pinSep3|'
259.5,bin4,'pinR2C2|pinR4C3|pinR4C4|pinR4C3|pinR4C3|pinR5C4|pinR7C3|pinR6C3|pinR8C3|pinR8C2|pinR9C3|pinR10C2|'
945.5,bin10,'pinR2C9|pinR1C10|pinR2C9|pinR3C10|pinR6C8|pinR6C8|pinR6C8|pinR7C8|pinR8C8|pinR8C9|pinR11C10|pinSep9|sep|pinSep10|sep|sep|'
808.5,bin6,'pinR1C8|pinR4C9|pinR3C10|pinR4C9|pinR5C9|pinR7C8|pinR9C9|pinR11C8|pinR11C7|pinR11C7|'
1158.5,bin10,'rightwall|wall|pinR4C10|pinR8C8|pinR9C8|pinR8C7|pinR8C8|pinR8C9|pinR9C9|pinR11C10|pinR11C10|pinR11C10|pinSep10|sep|'
794.5,bin8,'pinR1C8|pinR2C8|pinR2C9|pinR3C9|pinR5C8|pinR5C8|pinR6C7|pinR9C6|pinR8C5|pinR8C6|pinR10C6|pinR10C7|'
968.5,bin7,'pinR1C10|pinR2C9|pinR2C10|pinR3C10|pinR3C11|pinR4C10|pinR5C11|wall|pinR5C11|pinR7C11|pinR7C10|pinR9C10|pinR8C9|pinR11C9|pinR11C8|pinR11C8|pinSep7|'
1143.5,bin6,'wall|pinR5C10|pinR4C9|pinR5C9|pinR6C9|pinR6C8|pinR7C9|pinR9C8|sep|'
448.5,bin5,'pinR2C4|pinR1C5|pinR3C5|pinR3C6|pinR4C5|pinR5C6|pinR6C6|pinR8C5|pinR11C4|pinR11C3|pinR11C4|'
443.5,bin6,'pinR2C4|pinR1C5|pinR2C4|pinR3C5|pinR3C6|pinR5C5|pinR4C5|pinR6C5|pinR6C5|pinR6C5|pinR7C5|pinR9C6|pinR9C5|pinR10C5|pinR10C5|pinR10C5|pinR11C5|'
1101.5,bin10,'pinR1C11|rightwall|pinR1C11|pinR3C11|wall|wall|pinR5C11|pinR5C10|pinR7C10|pinR7C11|wall|pinR10C10|pinSep10|sep|'
1106.5,bin10,'pinR1C11|rightwall|pinR3C11|wall|pinR6C10|pinR5C10|pinR6C10|pinR7C10|pinR7C11|pinR9C11|pinR8C10|pinR10C10|pinR11C10|pinR11C10|pinR11C10|pinSep10|pinSep10|pinSep10|pinSep10|pinSep10|'
960.5,bin9,'pinR2C9|pinR3C10|pinR3C11|wall|pinR3C11|rightwall|wall|pinR5C11|pinR6C10|pinR6C10|pinR7C11|pinR7C11|pinR8C10|pinR9C11|pinR11C10|'
1009.5,bin9,'pinR1C10|pinR3C11|wall|pinR4C10|wall|pinR5C11|wall|pinR8C10|pinR9C11|'
